740,0,0
3767,2,2
6254,0,0
10165,2,1
10803,0,2
11169,2,1
11504,0,2
11787,2,1
12154,1,0
12490,2,1
12925,1,0
13210,0,2
13577,1,0
13994,2,1
14311,1,0
14493,0,2
14811,1,0
15045,2,1
15382,1,0
15600,0,2
15867,1,0
16117,2,1
16551,1,0
16834,0,2
17266,2,1
17585,1,0
17870,2,1
18187,1,0
18437,2,1
18704,1,0
18937,0,2
19237,1,0
19456,0,2
19690,1,0
19941,0,2
20157,0,2
20741,0,2
21174,2,1
21706,2,1
22439,2,2
22893,2,2
23228,1,1
23949,2,1
24334,2,1
25020,2,2
25738,2,0
26087,2,0
26439,2,0
26775,1,2
27144,1,2
27511,1,2
27843,0,1
28180,0,1
28563,0,1
29216,0,0
29616,0,0
29967,0,0
30700,0,2
31350,2,0
32100,1,1
32801,1,0
33520,0,1
34223,0,0
34574,0,0
34925,0,0
35291,0,0
35624,2,2
35977,2,2
36348,2,2
36684,2,2
37017,1,1
37383,1,1
38071,1,0
38454,1,0
38774,0,2
39140,0,2
39490,0,2
39858,0,2
40513,2,2
41284,2,0
41649,2,0
41967,1,2
42350,1,2
42699,2,0
43018,2,0
43353,0,1
43703,0,1
44069,1,2
44437,1,2
44787,0,1
45087,0,1
45487,2,0
46074,2,1
46544,2,1
46929,2,1
47281,2,1
47617,2,1
48035,2,0
48319,2,0
48689,2,0
49039,2,0
49274,1,2
49806,1,1
50025,1,1
50391,0,0
50677,0,0
50844,0,0
51176,0,0
51862,2,0
52248,2,0
52581,0,1
52900,2,0
53285,0,1
53620,2,0
54337,1,0
54656,2,1
55073,1,0
55423,2,1
55759,1,0
56094,2,1
56429,1,0
56765,0,2
57400,0,1
57954,0,0
58454,0,2
58991,0,0
59643,0,1
59845,0,1
60201,1,2
60387,1,2
60721,2,0
60923,2,0
61307,1,2
61507,1,2
61810,0,1
61978,0,1
62161,1,2
62328,1,2
62495,0,1
62665,0,1
63032,2,0
63216,2,0
63603,1,2
63821,2,0
64154,1,2
64339,2,0
64607,0,1
64810,1,2
64994,0,1
65161,1,2
65329,0,1
65546,1,2
65930,1,2
66583,1,1
67283,1,0
67719,0,2
68071,1,0
68469,2,1
69174,2,2
69556,2,2
69907,2,2
70206,1,1
70524,1,0
70972,0,2
71290,1,0
71626,0,2
71927,0,1
72442,1,2
72761,2,0
73061,2,0
73331,2,1
73781,1,0
74131,1,0
74450,0,2
74718,0,1
75189,1,2
75623,0,1
75923,0,1
76206,0,0
76643,1,1
76944,1,1
